local_x,local_y,local_z
89634.0911,43179.534,43.1
89635.0373,43178.7556,43.1
89635.6742,43178.2684,43.1
89636.3359,43177.7929,43.1
89637.4866,43177.4448,43.1
89638.6964,43177.0918,43.1
89640.1858,43176.9552,43.1
89641.5741,43176.9475,43.1
89642.9469,43177.0022,43.1
89644.4725,43177.2961,43.1
89645.8257,43177.5679,43.1
89647.4289,43178.0001,43.1
89648.9592,43178.4857,43.1
89649.8766,43178.8669,43.1
89651.0111,43179.4431,43.1
89652.2678,43180.1871,43.1
89653.4728,43181.0823,43.1
89654.5443,43181.9093,43.1
89655.3275,43182.5667,43.1
89656.0033,43183.1727,43.1
89656.837,43183.8298,43.1
89657.2729,43184.03,43.1
89657.9012,43184.3307,43.1
89658.432,43184.3555,43.1
89658.7756,43184.2819,43.1
89659.2423,43183.99,43.1
89659.8638,43183.4191,43.1
89660.108,43182.8208,43.1
89660.2033,43182.2931,43.1
89660.1525,43181.7532,43.1
89660.0042,43181.0438,43.1
89659.4927,43180.4767,43.1
89658.8994,43180.1271,43.1
89657.7105,43179.5059,43.1
89656.9676,43179.1782,43.1
89656.1372,43178.6837,43.1
89655.3219,43178.1274,43.1
89654.3098,43177.4369,43.1
89652.9351,43176.8122,43.1
89651.7407,43176.4758,43.1
89650.7344,43176.3329,43.1
89649.5091,43176.2117,43.1
89648.324,43176.1008,43.1
89646.7063,43175.9769,43.1
89645.6129,43175.8347,43.1
89644.6113,43175.4674,43.1
89643.9452,43174.9976,43.1
89643.0496,43174.366,43.1
89641.5739,43172.3986,43.1
89640.7591,43169.9325,43.1
89640.5702,43168.7164,43.1
89640.5294,43167.6824,43.1
89640.7049,43166.2885,43.1
89641.0803,43164.93,43.1
89641.4382,43164.0589,43.1
89641.9595,43163.2508,43.1
89642.3959,43162.4319,43.1
89643.1937,43161.5376,43.1
89644.6194,43160.5758,43.1
89649.1205,43158.6549,43.1
89652.7415,43156.9719,43.1
89655.3875,43156.0205,43.1
89657.431,43155.529,43.1
89659.3758,43155.451,43.1
89660.8999,43155.7623,43.1
89662.5105,43156.3568,43.1
89663.9758,43157.1656,43.1
89665.2694,43158.3759,43.1
89666.6089,43160.1524,43.1
89667.1722,43161.7026,43.1
89667.4308,43162.5182,43.1
89667.5768,43163.2919,43.1
89667.5275,43164.1154,43.1
89667.3854,43164.7681,43.1
89667.2341,43165.6394,43.1
89667.218,43165.9535,43.1
89667.2704,43166.3764,43.1
89667.3486,43166.8917,43.1
89667.7799,43167.3894,43.1
89668.2276,43167.6945,43.1
89668.8152,43167.8499,43.1
89669.7514,43167.946,43.1
89670.1209,43167.837,43.1
89670.6436,43167.6556,43.1
89670.97,43167.2669,43.1
89671.2798,43166.8853,43.1
89671.6148,43166.3055,43.1
89671.7525,43165.6491,43.1
89671.9593,43165.0588,43.1
89672.5099,43164.0952,43.1
89673.3494,43162.9882,43.1
89673.9186,43162.0332,43.1
89674.7447,43160.797,43.1
89675.4283,43159.6614,43.1
89675.9499,43158.9632,43.1
89676.8708,43157.6753,43.1
89677.1769,43156.9417,43.1
89677.318,43156.4384,43.1
89677.1861,43155.6133,43.1
89676.8862,43154.9251,43.1
89676.5794,43154.4365,43.1
89676.2679,43154.0152,43.1
89675.5466,43153.5787,43.1
89674.8917,43153.1823,43.1
89674.0935,43152.6992,43.1
89673.0694,43151.9429,43.1
89672.1663,43151.2759,43.1
89670.8395,43150.7692,43.1
89669.79,43150.4041,43.1
89668.7183,43150.1087,43.1
89667.5324,43150.2179,43.1
89666.2977,43150.4528,43.1
89665.3352,43150.6776,43.1
89664.4627,43150.9216,43.1
89663.4154,43151.1176,43.1
89662.4436,43151.275,43.1
89661.4996,43151.3004,43.1
89660.4017,43151.0475,43.1
89659.3241,43150.3921,43.1
89657.9082,43149.5466,43.1
89656.3941,43148.5535,43.1
89655.1571,43147.332,43.1
89654.5099,43146.3878,43.1
89654.0865,43145.5133,43.1
89653.566,43144.2369,43.1
89653.3098,43142.7365,43.1
89653.3844,43141.4091,43.1
89653.504,43139.2814,43.1
89653.5877,43137.7922,43.1
89653.6814,43136.1246,43.1
89653.7921,43134.1555,43.1
89653.8967,43132.294,43.1
89653.9564,43131.2322,43.1
