local_x,local_y,local_z
89621.159,43172.9555,43.1
89620.0666,43173.2895,43.1
89618.9163,43173.7253,43.1
89618.1549,43174.1703,43.1
89617.7204,43174.4321,43.1
89617.2125,43174.8405,43.1
89616.7898,43175.3694,43.1
89616.3277,43176.0388,43.1
89615.8315,43176.9419,43.1
89615.8286,43177.4315,43.1
89615.7061,43178.1937,43.1
89615.5284,43178.9175,43.1
89615.211,43179.6199,43.1
89615.0135,43180.2362,43.1
89614.9631,43180.8934,43.1
89615.0056,43181.4494,43.1
89615.1214,43182.0483,43.1
89615.2238,43183.075,43.1
89615.4236,43184.2022,43.1
89615.8862,43185.0883,43.1
89616.6346,43186.1062,43.1
89618.559,43187.7891,43.1
89621.1338,43189.7129,43.1
89623.4225,43191.2812,43.1
89624.7226,43191.9947,43.1
89625.7822,43192.448,43.1
89626.8558,43192.8391,43.1
89628.2198,43193.0578,43.1
89630.0291,43192.8845,43.1
89631.3612,43192.7221,43.1
89632.6624,43192.2525,43.1
89634.0403,43191.5841,43.1
89635.7035,43190.2864,43.1
89636.8337,43188.9262,43.1
89637.6644,43187.7107,43.1
89638.6675,43186.2065,43.1
89639.168,43185.3125,43.1
89639.7611,43184.5182,43.1
89640.2247,43184.051,43.1
89640.7171,43183.8212,43.1
89641.7903,43183.6069,43.1
89642.6806,43183.6971,43.1
89643.9383,43183.9614,43.1
89644.5669,43184.2767,43.1
89645.2942,43184.7449,43.1
89646.1357,43185.4751,43.1
89647.858,43186.5845,43.1
89651.2097,43188.7436,43.1
89653.5262,43190.2358,43.1
89655.97,43191.7475,43.1
89657.0868,43192.5939,43.1
89658.4252,43193.0886,43.1
89660.3646,43193.0885,43.1
89661.6473,43192.8586,43.1
89662.8409,43192.2026,43.1
89663.777,43191.1219,43.1
89664.8473,43189.5674,43.1
89666.1477,43187.5895,43.1
89667.5855,43185.3017,43.1
89668.7383,43183.2955,43.1
89669.1966,43182.0251,43.1
89669.3037,43180.8989,43.1
89668.9775,43179.6604,43.1
89668.4758,43178.5936,43.1
89667.8359,43177.6633,43.1
89666.6932,43176.3842,43.1
89665.8224,43175.736,43.1
89664.8966,43175.0495,43.1
89663.1231,43173.9713,43.1
89661.5168,43173.0549,43.1
89659.7796,43172.0639,43.1
89658.0359,43171.2174,43.1
89656.1405,43170.5074,43.1
89654.6598,43170.3871,43.1
89653.3362,43170.2091,43.1
89651.9605,43170.1154,43.1
89650.3033,43169.9097,43.1
89649.3881,43169.6665,43.1
89648.8065,43169.4152,43.1
89648.3945,43168.9263,43.1
89648.2161,43168.3662,43.1
89648.2791,43167.5057,43.1
89648.4254,43167.0006,43.1
89648.7938,43166.5202,43.1
89649.3849,43166.2975,43.1
89650.2761,43166.0865,43.1
89652.123,43165.2829,43.1
89653.9062,43164.5645,43.1
89655.0878,43164.2446,43.1
89655.9399,43163.8989,43.1
89657.1297,43163.3433,43.1
89657.8998,43162.9551,43.1
89658.736,43162.6983,43.1
89659.3699,43162.8238,43.1
89659.9404,43163.2324,43.1
89660.2126,43163.6576,43.1
89660.394,43164.0571,43.1
89660.4521,43164.5047,43.1
89660.1458,43165.1604,43.1
89659.69,43165.5358,43.1
89659.391,43165.8863,43.1
89659.0692,43166.5817,43.1
89658.6559,43167.5912,43.1
89658.6024,43168.7477,43.1
89658.9419,43169.5865,43.1
89659.7037,43170.1248,43.1
89660.2621,43170.5582,43.1
89662.4456,43171.978,43.1
89663.9832,43172.9778,43.1
89665.2192,43173.6729,43.1
89666.8255,43174.5763,43.1
89667.7605,43174.9379,43.1
89668.9721,43175.1022,43.1
89670.4846,43174.9868,43.1
89672.1248,43174.7032,43.1
89673.3198,43174.2896,43.1
89674.6563,43173.7688,43.1
89675.5438,43172.8683,43.1
89676.0763,43172.0263,43.1
89676.8209,43170.8638,43.1
89678.3134,43168.6208,43.1
89679.5421,43166.7244,43.1
89680.0287,43165.8671,43.1
89680.5082,43165.0225,43.1
89681.2179,43164.2844,43.1
89681.8259,43163.652,43.1
89682.4867,43163.0481,43.1
89683.2816,43162.3216,43.1
89684.0022,43161.5253,43.1
89684.212,43160.6316,43.1
89684.0255,43158.9619,43.1
89683.8264,43157.5561,43.1
89683.5039,43155.8422,43.1
89683.0701,43154.007,43.1
89682.8347,43152.2419,43.1
89682.2932,43150.9922,43.1
89681.8206,43150.0873,43.1
89680.9112,43148.7894,43.1
89680.0499,43147.6771,43.1
89679.0699,43146.9667,43.1
89677.4351,43146.0771,43.1
89675.9032,43144.9979,43.1
89674.0053,43143.8322,43.1
89673.444,43143.4224,43.1
89672.756,43143.0433,43.1
89671.2396,43142.7811,43.1
89669.7397,43142.8532,43.1
89667.9486,43143.1366,43.1
89665.1887,43143.5675,43.1
89663.6775,43143.8038,43.1
89663.1296,43143.8912,43.1
89662.3924,43144.0087,43.1
89661.7551,43143.9662,43.1
89661.2736,43143.89,43.1
89660.6921,43143.5861,43.1
89660.3275,43143.1685,43.1
89660.0023,43142.8106,43.1
89659.7516,43142.2478,43.1
89659.3509,43140.5404,43.1
89659.1412,43138.9532,43.1
89659.1388,43137.3481,43.1
89659.2436,43135.4418,43.1
89659.5928,43133.7704,43.1
89659.8483,43132.6161,43.1
89660.2186,43130.774,43.1
89660.3701,43128.8083,43.1
